TICKER,DURATION,PERIODEND,INDEXNAME,VALUE,CUMULATIVEVALUE,COMMENT,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
MELI,Mid-month,16/06/25,Mercado Libre Transaction Index,3.769908759,279.9147092,,15:00.0,0.401231066,
MELI,Mid-month,16/04/21,Mercado Pago Transaction Index,0.501376119,0.501376119,,00:00.0,,
MELI,Mid-month,16/05/21,Mercado Pago Transaction Index,0.550446768,1.550446768,,00:00.0,,
MELI,Mid-month,16/06/21,Mercado Pago Transaction Index,0.588511229,2.715323783,,00:00.0,,
MELI,Mid-month,16/07/21,Mercado Pago Transaction Index,0.6239034,3.905885825,,00:00.0,,
MELI,Mid-month,16/08/21,Mercado Pago Transaction Index,0.648146825,5.221132687,,00:00.0,,
MELI,Mid-month,16/09/21,Mercado Pago Transaction Index,0.706443786,6.621013927,,00:00.0,,
MELI,Mid-month,16/10/21,Mercado Pago Transaction Index,0.756432891,8.061551085,,00:00.0,,
MELI,Mid-month,16/11/21,Mercado Pago Transaction Index,0.777412578,9.586312243,,00:00.0,,
MELI,Mid-month,16/12/21,Mercado Pago Transaction Index,0.849607776,11.19958587,,00:00.0,,
MELI,Mid-month,16/01/22,Mercado Pago Transaction Index,0.792629286,12.85896661,,00:00.0,,
MELI,Mid-month,16/02/22,Mercado Pago Transaction Index,0.863624482,14.52723324,,00:00.0,,
MELI,Mid-month,16/03/22,Mercado Pago Transaction Index,0.905513318,16.13811411,,00:00.0,,
MELI,Mid-month,16/04/22,Mercado Pago Transaction Index,0.921475307,17.9561241,,00:00.0,0.837892298,
MELI,Mid-month,16/05/22,Mercado Pago Transaction Index,0.975621689,19.78274887,,00:00.0,0.772417872,
MELI,Mid-month,16/06/22,Mercado Pago Transaction Index,1.032060117,21.78087224,,00:00.0,0.753679566,
MELI,Mid-month,16/07/22,Mercado Pago Transaction Index,1.060021782,23.80755149,,00:00.0,0.699015875,
MELI,Mid-month,16/08/22,Mercado Pago Transaction Index,1.085300892,25.93385335,,00:00.0,0.674467653,
MELI,Mid-month,16/09/22,Mercado Pago Transaction Index,1.138660683,28.135133,,00:00.0,0.611820651,
MELI,Mid-month,16/10/22,Mercado Pago Transaction Index,1.205327801,30.44611532,,00:00.0,0.59343653,
MELI,Mid-month,16/11/22,Mercado Pago Transaction Index,1.238303636,32.88467859,,00:00.0,0.592852587,
MELI,Mid-month,16/12/22,Mercado Pago Transaction Index,1.326076463,35.4497572,,15:00.0,0.560810176,
MELI,Mid-month,16/01/23,Mercado Pago Transaction Index,1.249928155,38.06347173,,15:00.0,0.576939153,
MELI,Mid-month,16/02/23,Mercado Pago Transaction Index,1.360301562,40.7032538,,15:00.0,0.57510769,
MELI,Mid-month,16/03/23,Mercado Pago Transaction Index,1.441011066,43.19116503,,15:00.0,0.591374789,
MELI,Mid-month,16/04/23,Mercado Pago Transaction Index,1.420995243,46.0021231,,15:00.0,0.542087164,
MELI,Mid-month,16/05/23,Mercado Pago Transaction Index,1.544205051,48.90810733,,15:00.0,0.582790818,
MELI,Mid-month,16/06/23,Mercado Pago Transaction Index,1.603836051,52.02679859,,15:00.0,0.554014175,
MELI,Mid-month,16/07/23,Mercado Pago Transaction Index,1.693318775,55.23396573,,15:00.0,0.597437717,
MELI,Mid-month,16/08/23,Mercado Pago Transaction Index,1.828764933,58.77359649,,15:00.0,0.685030342,
MELI,Mid-month,16/09/23,Mercado Pago Transaction Index,1.892480878,62.46621617,,15:00.0,0.662023557,
MELI,Mid-month,16/10/23,Mercado Pago Transaction Index,2.004346976,66.27409627,,15:00.0,0.662906119,
MELI,Mid-month,16/11/23,Mercado Pago Transaction Index,2.133371877,70.42105958,,15:00.0,0.722818068,
MELI,Mid-month,16/12/23,Mercado Pago Transaction Index,2.277644614,74.74097576,,15:00.0,0.717581661,
MELI,Mid-month,16/01/24,Mercado Pago Transaction Index,2.108961137,79.12653095,,15:00.0,0.687265887,
MELI,Mid-month,16/02/24,Mercado Pago Transaction Index,2.269815418,83.58935392,,15:00.0,0.668611932,
MELI,Mid-month,16/03/24,Mercado Pago Transaction Index,2.469898397,88.11453917,,15:00.0,0.714003769,
MELI,Mid-month,16/04/24,Mercado Pago Transaction Index,2.439458296,92.97938101,,15:00.0,0.716725167,
MELI,Mid-month,16/05/24,Mercado Pago Transaction Index,2.594571838,97.97457514,,15:00.0,0.680199036,
MELI,Mid-month,16/06/24,Mercado Pago Transaction Index,2.83673531,103.4367567,,15:00.0,0.768719009,
MELI,Mid-month,16/07/24,Mercado Pago Transaction Index,2.887613486,108.844832,,30:00.0,0.705298216,
MELI,Mid-month,16/08/24,Mercado Pago Transaction Index,3.076111874,114.8576325,,15:00.0,0.68207068,
MELI,Mid-month,16/09/24,Mercado Pago Transaction Index,3.237998452,121.130012,,15:00.0,0.710980803,
MELI,Mid-month,16/10/24,Mercado Pago Transaction Index,3.356282811,127.5978606,,15:00.0,0.674501896,
MELI,Mid-month,16/11/24,Mercado Pago Transaction Index,3.554312165,134.5646766,,15:00.0,0.666053726,
MELI,Mid-month,16/12/24,Mercado Pago Transaction Index,3.74704758,141.6783287,,15:00.0,0.645141458,
MELI,Mid-month,16/01/25,Mercado Pago Transaction Index,3.411717414,148.9268979,,15:00.0,0.617724174,
MELI,Mid-month,16/02/25,Mercado Pago Transaction Index,3.670341922,156.2860708,,15:00.0,0.6170222,
MELI,Mid-month,16/03/25,Mercado Pago Transaction Index,3.769490393,163.1876254,,15:00.0,0.52617225,
MELI,Mid-month,16/04/25,Mercado Pago Transaction Index,3.934241223,170.9935827,,15:00.0,0.612751991,
MELI,Mid-month,16/05/25,Mercado Pago Transaction Index,4.209355672,178.7786927,,15:00.0,0.622370061,
MELI,Mid-month,16/06/25,Mercado Pago Transaction Index,4.318169019,187.2385392,,15:00.0,0.522231914,
MELI,Month,01/05/18,Mercado Libre Transaction Index,1,1,,15:00.0,,
MELI,Month,01/06/18,Mercado Libre Transaction Index,1.050228851,2.050228851,,15:00.0,,
MELI,Month,01/07/18,Mercado Libre Transaction Index,0.999344375,3.049573226,,15:00.0,,
MELI,Month,01/08/18,Mercado Libre Transaction Index,1.050254226,4.099827451,,15:00.0,,
MELI,Month,01/09/18,Mercado Libre Transaction Index,1.09451808,5.194345532,,15:00.0,,
MELI,Month,01/10/18,Mercado Libre Transaction Index,1.027178939,6.22152447,,15:00.0,,
MELI,Month,01/11/18,Mercado Libre Transaction Index,1.040322506,7.261846977,,15:00.0,,
MELI,Month,01/12/18,Mercado Libre Transaction Index,1.13888229,8.400729267,,15:00.0,,
MELI,Month,01/01/19,Mercado Libre Transaction Index,1.144273356,9.545002623,,15:00.0,,
MELI,Month,01/02/19,Mercado Libre Transaction Index,1.094058121,10.63906074,,15:00.0,,
MELI,Month,01/03/19,Mercado Libre Transaction Index,0.984252492,11.62331324,,15:00.0,,
MELI,Month,01/04/19,Mercado Libre Transaction Index,1.100916312,12.72422955,,15:00.0,,
MELI,Month,01/05/19,Mercado Libre Transaction Index,1.121157443,13.84538699,,15:00.0,0.121157443,
MELI,Month,01/06/19,Mercado Libre Transaction Index,1.210018749,15.05540574,,15:00.0,0.152147694,
MELI,Month,01/07/19,Mercado Libre Transaction Index,1.166376771,16.22178251,,15:00.0,0.167141979,
MELI,Month,01/08/19,Mercado Libre Transaction Index,1.274261572,17.49604408,,15:00.0,0.213288688,
MELI,Month,01/09/19,Mercado Libre Transaction Index,1.376770367,18.87281445,,15:00.0,0.25787814,
MELI,Month,01/10/19,Mercado Libre Transaction Index,1.273190924,20.14600537,,15:00.0,0.23950256,
MELI,Month,01/11/19,Mercado Libre Transaction Index,1.377047147,21.52305252,,15:00.0,0.323673322,
MELI,Month,01/12/19,Mercado Libre Transaction Index,1.433328874,22.9563814,,15:00.0,0.258539962,
MELI,Month,01/01/20,Mercado Libre Transaction Index,1.476788532,24.43316993,,15:00.0,0.290590683,
MELI,Month,01/02/20,Mercado Libre Transaction Index,1.422540918,25.85571085,,15:00.0,0.300242548,
MELI,Month,01/03/20,Mercado Libre Transaction Index,1.279162859,27.1348737,,15:00.0,0.299628773,
MELI,Month,01/04/20,Mercado Libre Transaction Index,1.383238678,28.51811238,,15:00.0,0.256443077,
MELI,Month,01/05/20,Mercado Libre Transaction Index,1.900168641,30.41828102,,15:00.0,0.694827656,
MELI,Month,01/06/20,Mercado Libre Transaction Index,2.555734615,32.97401564,,15:00.0,1.11214464,
MELI,Month,01/07/20,Mercado Libre Transaction Index,2.45610756,35.4301232,,15:00.0,1.105758294,
MELI,Month,01/08/20,Mercado Libre Transaction Index,2.742005646,38.17212884,,15:00.0,1.151838921,
MELI,Month,01/09/20,Mercado Libre Transaction Index,2.774961547,40.94709039,,15:00.0,1.01555874,
MELI,Month,01/10/20,Mercado Libre Transaction Index,2.275274807,43.2223652,,15:00.0,0.787064897,
MELI,Month,01/11/20,Mercado Libre Transaction Index,2.560335843,45.78270104,,15:00.0,0.859294251,
MELI,Month,01/12/20,Mercado Libre Transaction Index,2.868429794,48.65113084,,15:00.0,1.001236315,
MELI,Month,01/01/21,Mercado Libre Transaction Index,3.130904994,51.78203583,,15:00.0,1.120076725,
MELI,Month,01/02/21,Mercado Libre Transaction Index,2.782249355,54.56428518,,15:00.0,0.955830809,
MELI,Month,01/03/21,Mercado Libre Transaction Index,2.451322881,57.01560807,,15:00.0,0.916349325,
MELI,Month,01/04/21,Mercado Libre Transaction Index,2.886140073,59.90174814,,15:00.0,1.086509088,
MELI,Month,01/05/21,Mercado Libre Transaction Index,2.878178287,62.77992643,,15:00.0,0.514696235,
MELI,Month,01/06/21,Mercado Libre Transaction Index,3.128248572,65.908175,,15:00.0,0.224011505,
MELI,Month,01/07/21,Mercado Libre Transaction Index,3.031533901,68.9397089,,15:00.0,0.234283852,
MELI,Month,01/08/21,Mercado Libre Transaction Index,3.12649982,72.06620872,,15:00.0,0.140223699,
MELI,Month,01/09/21,Mercado Libre Transaction Index,3.207717436,75.27392615,,15:00.0,0.155950229,
MELI,Month,01/10/21,Mercado Libre Transaction Index,3.054117546,78.3280437,,15:00.0,0.342307108,
MELI,Month,01/11/21,Mercado Libre Transaction Index,3.15986509,81.48790879,,15:00.0,0.234160393,
MELI,Month,01/12/21,Mercado Libre Transaction Index,3.521347373,85.00925616,,15:00.0,0.227621949,
MELI,Month,01/01/22,Mercado Libre Transaction Index,3.651938281,88.66119444,,15:00.0,0.166416192,
MELI,Month,01/02/22,Mercado Libre Transaction Index,3.251191648,91.91238609,,15:00.0,0.168547903,
MELI,Month,01/03/22,Mercado Libre Transaction Index,2.942799211,94.8551853,,15:00.0,0.200494327,
